"Komentar","Kategori","",""
"tim udang lumpia","Netral","",""
"Kalo takeaway trs beli banyak pajaknya ttp segitu apaaa sesuai pesanan si kak??","Netral","",""
"Gimna min aku beli gobak sodor ada isi staplesnya😭","Negatif","",""
"rill","Netral","",""
"ilangin keju nya. jadi rada enek","Negatif","",""
"pengen beli, tapi duite ora ada😭","Positif","",""
"berarti ngga penting² banget doang soalnya aku sukanya udang rambutan","Positif","",""
"anjir pdhl kmren abis makan jadi huwek, tpi ini knp jadi pgn lagi sih😭","Positif","",""
"asli","Netral","",""
"aku gak suka mie nya
 mmaaf ya..tp klo kesitu pesen dimsum udng keju ma lumpia udang enakk","Positif","",""
"hahaha asli","Netral","",""
"di vidio kok piring nya bersih min😭🙏","Negatif","",""
"pliss gasuka udang keju sama udang rambutan tetep pangsit nya jadi favorit bgtt😭😭","Positif","",""
"tanpa udang keju hidup gw ada yg kurang 😍","Positif","",""
"min kapan nihhh buka cabang di serang 😔","Negatif","",""
"yang alergi udang menangis di pojokan","Netral","",""
"Setiap beda shif beda rasa🥺. Kadang juga ketuker dulu aku level 6 tp selalu dpt rasa kek level 1. Kan ksihan yg ketuker kepedesan","Negatif","",""
"Yg diserang kapan buka min","Netral","",""
"tolong bgt inimah, mienya dibuat becek teruss jgn kadang becek kadang kering😭","Negatif","",""
"please gacoan klo ngasih mie jgn sampai ke tuker levelnyaa, soalnya aku udh srg gtu.. dulu sih oke2 aja tp skrg aku lg dbf pesen lv1 sm 6 tulisan diboxnya ketukar..","Negatif","",""
"selalu bikin ngiler 🤤","Positif","",""
"purwodadi grobogan min 🥺🥺🥺","Netral","",""
"buka di malaysia min","Netral","",""
"Kenapa yg dimakassar nggak enak sihh mie gacoannya 😭","Negatif","",""
"gacoan bikin nagihhh","Positif","",""
"kalo aku udangnya suka di potong2 dlu trus satuin ke mie nya . uhhh mantap😁","Positif","",""
"Minn adain gacoan lvl 0,5 dongg","Netral","",""
"BUKA OUTLET DI LUMAJANG DONK MINN🥰🥰🥰🥰","Positif","",""
"keduaa min","Netral","",""
"""*AKU TANPAMU SEPERTI MIE GACOAN TANPA UDANG RAMBUTAN 🦐*","Positif","",""
"Gacoan mayan sih enak menurutku tapi semua balik ke selera orang masing😭","Positif","",""
"min buka cabang di berau kek","Negatif","",""
"disii gaada gacoan anjer","Negatif","",""
"aku gasuka pangsittt","Negatif","",""
"udang keju tuh enak banget tau kak","Positif","",""
"d Subang ada ga min","Netral","",""
"@Caprigril ya Allah ya Allah ayo gacoan tenan Iki","Positif","",""
"@keio beli yu","Positif","",""
"@suryati @ayy @fadilah p","Netral","",""
"@Nisnishaa ayoklah traktiren aku☺️☺️","Positif","",""
"@Wo N enak pasange pedess","Positif","",""
"tolong bgt @miegacoanofficial yg di samarinda rasanya beda bgt sama yg di tulungagung😭","Negatif","",""
"@astyygemoyy mau","Positif","",""
"@𝐜𝐨𝐫𝐥𝐢𝐢𝐧𝐞 🅥🅘🅞🅝🅐🌷 Mauuuu😭","Positif","",""
"🙏🏻🙏🏻🙏🏻","Netral","",""
"@ayyyy ya Allah tolongg😭😭😭","Positif","",""
"mie gacoan tolong dong tambahin level pedes lgi dong ","Negatif","",""
"ga komsisten kontrolll dongg😭😭 masa lv 8 ga ada pedesnya sama sekalii nahh lv 4 pedes bangett","Negatif","",""
"buka cabang di Banjarmasin dong","Netral","",""
"kenapa masih ppk streofom sech.. kl take away.. kan lbih bgus ada label gacoannya . jgn alasann hbs yha kardusnya . JD ayk perbaiki. truz juga kdng cabenya itu udh kmrin JD GK fres lagi","Negatif","",""
"min aku pecinta gacoan dan udang keju gariss kerass, bisaa kali kirimin setrukk😭🤣😂","Positif","",""
"panggil aku interview dong min","Netral","",""
"pliss dong buka di pelabuhanratu sukabumi😁","Positif","",""
"esteh kobok😁","Negatif","",""
"udang keju kek kamu pelengkapku eaa","Positif","",""
"kak buka di karangsem dong","Netral","",""
"tolong buka dibataammmmm dong ngidam bangetttt banget bangettttttttt","Positif","",""
"min tolong kecapnya yang konsisten dong🥲","Negatif","",""
"Gimana nih min, aku beli thaitea di gacoan kemang didalamnya ada name tag karyawannya😭😭🤢🤢🤢🙏","Negatif","",""
"mie gacoan B aja","Negatif","",""
"gak pernh minat mau makan di gacoan, soalnya viral karyawan gacoan ngambil es teh tapi jari2nya masuk semua didlm gelas yg sdh ada isi nya,kayak kobokan njir","Negatif","",""
"sebenarnya tempat miee ini enak semua menu nyaa ","Positif","",""
"KEBERSIHANNYA TOLONG DIPERHATIKAN😭🙏masa es teh campur minyakkk","Negatif","",""
"dsini piringnga bersih & wadah snacknyaa bersih, ga jamuran kek yg dikasih k customer. wkwkwk","Positif","",""
"pernah beli via g0f00d, lvl 1 & lvl 8. udah terlanjur abis yang level 8 (di tulisan) ternyata yang pedes jauh malah yang tulisannya (lvl 1). intinya kebalik 😮‍💨","Netral","",""
"kureng","Negatif","",""
"JAWAB GAK !! knp pedes gacoan gak konsisten. pesen lv 8 kek lv 4 pas pesen lv 6 kek lv 8 . trus pernah nyoba gak pedes jadi lv 1 knp kek lv 4😌😌","Negatif","",""
"min lipe di oren dong biar dapet banyak peromo","Netral","",""
"Gacoan kamu tu enak banget tau ga bosan”makannya😍","Positif","",""
"mending beli Al-Qur'an","Netral","",""
"kakkk aku gak bisa pake sumpit kasih garpuu donggg:(","Netral","",""
"kesel bngt saya beli gacoan beli level 0 dua malah di kasih level 2 mana dua duanya lagi😬","Negatif","",""
"selain makanan mie ada yg lain gk mimin😅","Netral","",""
"mesin cuci yang 720 RB masih ada a","Netral","",""
"daerah mn ni","Netral","",""
"ka klo lsg ke toko harga sama d engan dilive juga donk😁","Netral","",""
"sowcase ada bg","Netral","",""
"kapan live nya ka","Netral","",""
"kulkas 2 pintu dapat harga berapa ka?","Netral","",""
"bisa kirim ke luar propinsi nga a ?","Netral","",""
"kl dispenser galon bwh brp a? Masi 500rb an?","Netral","",""
"mejicom panasonik 1,8 L ada gak?","Netral","",""
"kridit bisa om","Netral","",""
"mwsin cuci 600 rb masih ada?","Netral","",""
"harga live sama datang ke tempat sama gak??","Netral","",""
"mau saya borong boleh bos","Positif","",""
"kulkas berapa duit bos","Netral","",""
"mesin cuci sharp 2 tabung brp ka?","Netral","",""
"boleh DP dulu dari sekarang boss?","Netral","",""
"Mau tv nyaaaa","Positif","",""
"@inisial_ap22","Netral","",""
"mau dong","Positif","",""
"kak ada kulkas/mesin cuci merk electrolux?","Netral","",""
"bisa kirim kejakarta gk k","Netral","",""
"merk apa kulkas nya kirim ke jakarta free ongkir ga","Netral","",""
"serius?","Netral","",""
"cara pesanya gimana","Netral","",""
"kak ada vacum cleaner kak.?","Netral","",""
"ada AC 1/2 pk nggak?","Netral","",""
"mauu 😭😭😭😭😭😭","Positif","",""
"murah bgt ih","Positif","",""
"ada kulkas mini gak kak","Netral","",""
"assalamualaikum","Netral","",""
"Ex diplay ac bang","Netral","",""
"murah bgtt","Positif","",""
"keren kakanya 👍🏻👍🏻","Positif","",""
"polytron 2 pintu ada ga min?","Netral","",""
"kulkas murah side by side dong","Positif","",""
"😍😍💪👍","Negatif","",""
"cara pakai nya gmna","Netral","",""
"obat untuk daya ingat apa ya ?","Netral","",""
"aku udh puny dan mahal 100 RB","Negatif","",""
"Otopain terbaik sihh","Positif","",""
"kak, kalo telinga sering gatel ada obat nya nggak? aku type orang yg hampir tiap hari bersihin telinga kak 😁","Netral","",""
"ka klo obat gatel yg ampuh apa tolong jawab🥺🙏","Netral","",""
"kalo telinganya sampe inveksi pake apa min","Netral","",""
"buat anak 4th boleh ga ya?","Netral","",""
"Wkt itu aku pake ini malah bikin telinga sakit dan iritasi katanya ini obat keras jg","Negatif","",""
"tlg d bntu 🙏🙏 uda hmpir 2 minggu batuk brdahak,g sembuh2.smpe d ksh obat racikan apoteker pun g sembuh","Netral","",""
"obat alergi ada gak ka?","Netral","",""
"kk, kalo telinga kemasukan air gimana ya","Netral","",""
"cara pakainya gmn kk","Netral","",""
"ponakan aku pke ini malah iritasi😳","Negatif","",""
"untuk bayi bisa gk?","Netral","",""
"klw ke tht mahal ga sih maaf sy nanya☺️","Netral","",""
"Bisa beli tnpa resep kan?","Netral","",""
"obat untu gusi yg bengkak Ap kak","Netral","",""
"bisa buat anak umur 3thn gak kak","Netral","",""
"ini bisa buat anak usia 16 bulan ga y?","Netral","",""
"klo kotoran telinga nya cair gmn tu ??","Netral","",""
"makasih atas infonya kak 😊🙏","Netral","",""
"klo h2o2 bsa ga ka?","Netral","",""
"sedang memakai ini.. kuping 3 hri sakit bnget smpai nyeri gk bisa mkn. alhamdulillah pkai ini udh mndingan","Positif","",""
"obat penambah hormon estrogen kak ?","Netral","",""
"mahal kakak","Negatif","",""
"dulu packing obat ini sebadan badan bau karna sebau itu obatnya tapi wort it kalo dipake😁","Positif","",""
"mending ke tht guys","Negatif","",""
"aku pk vital oil g ngaruh","Negatif","",""
"iya bner bgus bgt ini rekomendasi dari dokter","Positif","",""
"gk ngaruh di aku😭","Negatif","",""
"klw obat BAB buat anak 6 bln ap yah kak, ankku skrng lgi bab","Netral","",""
"saya pernh pke mlah jdi mendengung kya ke masukn air . Tkutnya klo diksh ke anak dia blm bisa ngmng yg dirasakab","Negatif","",""
"obat panu yg ampuh kaa","Netral","",""
"kemaren aku brobat ke dokter ThT trus di kasih obat forumen.. tdi pagi aku pake obatnyaa trus keluar kotorannya..","Positif","",""
"buset GK ada keranjang kuning nya","Negatif","",""
"Yg pndngranyaa krgg jlss pKe ap??","Netral","",""
"Buat anak 5 thn bisa","Netral","",""
"kak obat asam urat dan kolestrol bagian atas tumit bengkak, gbsa jalan😭","Netral","",""
"obat buat semacam panu apa ya,yang pakai minum,,buat ilangin ruam2 merah di dada🙏🙏","Netral","",""
"obat buat jadi tampan & pemberani apa ya?","Netral","",""
"aku pake phenol glycerol dh 7 hari msih keras .. smpe telinga skit.. mau ke tht aj","Negatif","",""
"topping nya bikin ngiler banyak bgtt
klo deket dah pasti beli 😭","Positif","",""
"Mbak andai buka diSidoarjo, aku tiap hari tuku terus mbak😂😂","Positif","",""
"Deket dari rumah tp belom nyoba²in nih, Krn paksuami G mau dsruh beliiN. Nnti nunggu boleh kluar rumah saya aj beli bareng ktnya😁","Netral","",""
"besok buka ga yaa kak😁","Netral","",""
"cumi'a bikin nagih, pgn balik balik lg hoho...","Positif","",""
"mau belii mau beliii , tolong antar ke Kalimantan 😁","Positif","",""
"spill resep ayam woku nya kak🙏","Netral","",""
"Pngen nyoba blm kesanpean","Netral","",""
"Cakalang teh ikan Tongkol bukan ka ?","Netral","",""
"nah lebih suka yg begini, banyak lauknya ketibang nasinya","Positif","",""
"hari ini buka ga kak?","Netral","",""
"pengennn","Positif","",""
"ngilerbgt🤤","Positif","",""
"jualan nya niruin yg sebelah😂","Negatif","",""
"cuminya fres kah kak,apa cumi kering","Netral","",""
"Kak bikin yg porsi mini dong harga 5rb an","Netral","",""
"enak nih lauknya naroinnya banyak, yg biasa dijualin kebanyakan nasi dripda lauk","Positif","",""
"Minggu buka ga ya kak?","Netral","",""
"katanya mie pedes se Indonesia tapi ko level 8 gtu dowang😏😅","Negatif","",""
"menurutku agak mahal sedikit, tapi setiap daerah itu memiliki harga jual yang berbeda-beda","Negatif","",""
"3rebu nasi bakar isi bara","Netral","",""
"disini 3 ribu cuma dapet nasi sama teri suprit😌","Netral","",""
"kak, saran supaya lebih rapi ketika habis di bakar,ujung daunnya di potong kak pakai gunting.Supaya lebih rapi Dan cantik","Netral","",""
"tertergantung tempat nya kk di tanggerang 20000","Netral","",""
"saya aja jual nasi bakar 25rb... tetehnya jual 15rb murah pisan skrg harga bumbu lg pada mahal ..","Positif","",""
"mhl murahnya mknan trgntung kota/daerah🙏tpi mnrtku itu msh wkt si 15k porsinya ga sdkit ga banyak🥰","Positif","",""
"Eh itu worth it weh 15 rb telur sambel,ayam😩 di tempatku 8rb cuma cumi ala kadarnya langsung masuk plastik ga di kasih streofom tau","Positif","",""
"di tpt ku mangasih ad nasi 3ribu, buat sarapan tp, nasi kuning, nasi lemak, lontong, masih bs 3000an,tp klo nasi bakar pling minim 10ribu","Netral","",""
"klo ada yg blg mahal prinsip gw sebagai penjual. berarti dia bukan target pasar jualan kita. kita jualan jg mesti hitung kebutuhan selain bahan pokoknya. segitu 15rb mah udh mending byk juga..","Positif","",""
"nasi bakar 3 rb isi areng kaya nya 😭","Negatif","",""
"buat nasi bakar segitu isiannya standar nya emang segitu harganya🤗","Positif","",""
"nasi kuning aja paling murah 10rebuan anjir itu nasi bakar 3rebu dimana","Netral","",""
"3rb nasi kucing aj skrg udh g dapet😂ini sih 15rb isi bnyak gitu ya enk lah.di tmpat w 10rb nasi doang bnyak Ayam ny dikit bgt..nasi ny jg kaya nasi biasa g ada rasa😂","Positif","",""
"Rapi, bersih, banyak, harga terjangkau,gua klo dket jg mau mbak. drpda beli seblak seharga 15rb disini mh😅","Positif","",""
"15rb sbnyk itu worth to buy lah,,","Positif","",""
"klo di deket rumah gw kek nya gw bakalan beli tiap hari deh😅","Positif","",""
"enak'a bngt kelihatan'a 🥰 d bekasi ada ga yah?","Positif","",""
"disini aja 20 ribu Lo nasi bakar tu kok itu 15 murah lah udahan yg bilang 3 ribu spill donk nasi bakar isi apaa aj tuh 🥴🥵","Positif","",""
"untuk harga 15k isiannya banyak gini mah murahhhh lhoooo","Positif","",""
"3rb di kotaku gedenya se lemper 😁, tp ini murah 15rb udah dpt telur dan isian nya banyak juga fress baru dibuat","Positif","",""
"15rb murah co isiannya bnyak nsinya bnyak, di tmpt gua nasi bakar klo isian ayam , teri 10rb isian cumi 15rb isinya dkit nasinya pun ga terlalu bnyak kaya kakaknya","Positif","",""
"3 ribu dapet daun pisangnya doangg😭😭😭😭","Negatif","",""
"15 rb sgni msh worth itu,,yg blg. mnding dsni 5 rb 3 rb udh beda ,lauknya sekutil ,,nasi putih biasa dkit bgt macem lontong isi wkwk","Positif","",""
"ditempatq 6rb-8rb seret bgt nasi nya, lauknya dikit bgtt, gue memding beli yg 15rb ini manteppp","Positif","",""
"terjangkau 15000 dengan isian ayam suwir sama telur...sukses terus buat jualan nya.","Positif","",""
"itu yang komen pingin beli tapi tak punya uang mau yang gratis","Netral","",""
"nasi ponggol di sini 5 ribu...lauknya komplit..dikasih gorengan 1...wareggg. kyng bnget kdng GK hbs .","Negatif","",""
"kalau diaku cuma 10.000","Negatif","",""
"aku kalo bikin cumi asin..aloottt😭","Netral","",""
"disini 10rebuan, mana ada 3rb 😌","Negatif","",""
"woy mba naikin harganya murah bgt itu😭","Positif","",""
"mahal banget 15rb...di tempat ku serebu an udh pake ayam tongkol telor,kadang kalo beruntung dpt vcher umroh 😔","Positif","",""
"ada harga ada kualitas, jgn cuma liat mahal murah nya","Netral","",""
"cakalang itu apa ya kak.??😊","Netral","",""
"kurang kerupuk kak plissss","Negatif","",""
"mahal banget. di tempat aku gak ada 😭😭","Negatif","",""
"3rebu mah arem2 kali wkwkk","Netral","",""
"mantappp... laris manissss","Positif","",""
"enk bgt ky ny..ngiler..mhl jg gpp kl enk..😁mantep tuh","Positif","",""
"murah banget, jd pengen","Positif","",""
"ini di bujana tirta pisangan lama ya 🙆‍♀️yaampun ko gue ga prnh liat ya.ini buka jam brpa ka? mau mampir lah","Netral","",""
"Ngomongnya jgn diatas nasi mba 😭","Netral","",""
"ino sdh murah bgt loh....","Positif","",""
"kalau dekat saya mau beli ka","Positif","",""
"daerah mana niy kak???","Netral","",""
"murah menurutku,mungkin ngliatnya kayak dikit, tp cobak deh beli bumbu dapur ke pasar,harganya bikin nangis weeiii","Positif","",""
"menurutku worth it harga segitu. rasanya enak, porsi lumayan pake telur. aku udah pernah nyoba yg cumi mix ayam woku & cakalang🥰","Positif","",""
"kalo deket pasti ini jadi jalan ninjaku buat makan 👍👍👍","Positif","",""
"d sini nasbak 10k tpi gk sebanyak itu lauk nya😂","Positif","",""
"murah anjir, drpd lu ke angkringan makan nasi kucing 1 bungkus 3 rb lu makan 2 aja ga kenyang 😭","Positif","",""
"mngkn gmn posri nya ya,d tmpt q ada yg 5rb porsi ank skolhn, ada jg yg jual 10rb, nasi y aga bnyk","Netral","",""
"beli nasi putih aja 5 ribu satu porsi 😅","Netral","",""
"3000 itu nasi ap kak klo d kalimantan tempat saya nasi 15 ribu paling murah sdh 😁😁","Netral","",""
"3 rb dmn 😭😭 jakarta harga 15 rb udh murah","Netral","",""
"tapi emang di jakarta nasi bakar emang segituan","Netral","",""
"itu bukan sambel namanya kuah sambel soalnya encer bngt","Negatif","",""
"nyam nyam nyam 🤤","Positif","",""
"Kemurahaaaaannn","Positif","",""
"isinya melimpah. spt nya enak.","Positif","",""
"ngiler banget tteh","Positif","",""
"bikin ngiler banget 🤤🤤🤤","Positif","",""
"mantap tinggal tambahin krupuk aja dahbitu🤤🤤🤤","Positif","",""
"mau ih cobain 😁","Positif","",""
"Kak spill cara bungkus nasi bakarnya dong 🥰","Positif","",""
"enak nasi liwet","Negatif","",""
"sebenarnya bagus buat konten kalau ada komentar ginian,bisa jadi bahan 😆","Netral","",""
"knp bisa laku,, mungkin pertama pd hobby jajan ke2 rasanya enak, ke3 rasa no1 harga no sekian,, intinya ga mempermainkan harga,, tp klo disini bisa ga laku😭, lbh milih nasipadang 13k","Netral","",""
"emg mahal di gue persis kek gitu10 rb gk percaya gue fotoin","Negatif","",""
"kata ci mehong ""idih... ampun dah... nyinyir!!! beli kagak"" ","Netral","",""
"harga mahal tuh menurut ku tergantung daerah sih, apalagi sekarang bahan2 lagi mahal semua. kalau daerahku di Papua malah porsi segitu dijual 30 rban 25 rb paling murah😂. jdi jangan di samaratakan","Netral","",""
"15rb mahal? standar lah","Netral","",""
"minimal pake masker kak","Negatif","",""
"Nasi aking bakar isi nya ulat bulu ngab 🤣","Negatif","",""
"tetep mahal ka.. ditempat aku 3rb udh dpt Pajero 1 😂😂","Positif","",""
"aneh yg Plng ditmptnya 5rb namanya nasi cokot,ini nasi bakar bukan nasi cokot,mau murah bikin dewek","Netral","",""
"kurang sdikit sambalnya itu trlalu encer dn kbnykan minyak","Negatif","",""
"kalau sambil ngonten bisa pakai masker atau faceshield mba, takutnya nyiprat kemakanan. 🙏 sukses selalu 🥰","Positif","",""
"yg bilang mahal keterlaluan ya,, woooi harga satu bungkus mie instan ja berapa,, itu nasi sama lauk nya 15 termasuk murah lh 🙏🙏","Positif","",""
"Yg blilang mahal berarti bukan target marketingnya🤣😂ditempat ku ditempat ku harganya sekian,itu ditempat lo lo pada,ribet amat beli kagak😂","Netral","",""
"ngeditnya pke aplikasi apa kak","Netral","",""
"brpaa ka","Netral","",""
"bisa makan di tempat ga ka?","Netral","",""
"semangat kak sama saya juga jualan nasi bakar ...bedanya saya jualannya saya titip2in di tukang kue yg jualan pagi🤗","Positif","",""
"Ada di grab atau gofood gaa kakk??","Netral","",""
"disebelah mnnya ka.. trua buka jam brpa ya","Netral","",""
"semuanya enakkk bikin ngiler 😭🥺","Positif","",""
"Di grabfood ada ga kak?","Netral","",""
"daunnya dipanggang dlu gitu y ka ...kl utk.bgkus nasbakarnya😊","Netral","",""
"hadir mbak..","Netral","",""
"dari pertigaan Pisangan k kiri apa lurus","Netral","",""
"pernh beli yg ayam woku dan enak, lmyn bnyk","Positif","",""
"cakalang debest banget walaupun pedes tapi nagih","Positif","",""
"ka mlm td gabuka ya? saya cari gada hehe bukanya hari apa aja ka mhn info ya","Netral","",""
"maaf KK itu sambelnya sambel apa y🙏","Netral","",""
"sangat menginspirasi","Positif","",""
"Semoga laris manis ya ka","Positif","",""
"ayam woku nya ngangenin Rahma🤤❤️","Positif","",""
"Jualan ga kak? Aku mau ksana Ntr malam","Netral","",""
"Ngelipet nya enak bngt, gw Masih kaku banget 😂","Positif","",""
"aq pernah nyobain...enaaaakkk","Positif","",""
"paling the best yg cakalang sih","Positif","",""
"lipet daunnya ga rapih😂","Negatif","",""
"varian kadal suwir dengan daun kelor qaqa","Netral","",""
"yahh kirain semua outlet 🥺","Negatif","",""
"kek avogato y rasanya,eskrim d kasih espreso","Netral","",""
"toast nya knp skrg jd kecil sih🥺","Negatif","",""
"Lahhh kenapa gitu","Negatif","",""
"akhirny ada eskrim kopi @humandiaryyy__","Netral","",""
"Pilih kasih","Negatif","",""
"vanilaa dong kaa","Netral","",""
"Besok yuk ni @🅰️","Netral","",""
"omg mauuuuu","Positif","",""
"Mending mixue cuma 8rb","Negatif","",""
"penonton kecewa, semua outlet dong","Negatif","",""
"buka semua outlet dong minnn🥺","Negatif","",""
"semua bakal eskrim pada waktunya","Netral","",""
"my mouth is watering 😍","Positif","",""
"cie yg mau saingin miksue 😁","Netral","",""
"halal gak niiiiihhh?","Netral","",""
"Kok kaya kopi kenangan yaaa","Netral","",""
"kirain smua outlet janji jiwa😅","Netral","",""
"sumpaa, namanya apa","Netral","",""
"ditunggu di outlet semarang 🙌","Positif","",""
"Segerrr 🥰🥰","Positif","",""
"Mantap Janji jiwa raga kami","Positif","",""
"@loosy cakep ban get","Positif","",""
"Omgg menarikk","Positif","",""
"waah deket rumah 😊","Positif","",""
"keren logo barunya🔥🔥","Positif","",""
"ada efek samping ny ga?","Netral","",""
"kk kalau minum Natur e yg warna hijau cuman 1 kali dalam sehari nggak apa-apa??","Netral","",""
"oiya guys klo kalian lagi jerawatan mending jangan pake, soalnya ada vit e","Negatif","",""
"kalo siang yg ijo, malem yg putih boleh gak?","Netral","",""
"dari mulai umur berapa natur-e hijau itu?","Netral","",""
"cuma pengen tau obatnya berkeringat di telapak tangan dan kaki apa yah","Netral","",""
"obat buat mata merah tapi sebagian doang, ada ga kak?","Netral","",""
"obat buat sariawan apa ya kak😩😩😩🙏","Netral","",""
"obat buat nyeri sendi apa ya kak","Netral","",""
"Gue minum yang ijo,pengen makan mulu anjir","Negatif","",""
"assalammualaikum, izin bertanya kak, obat untuk penghilang insomnia apa ya ? sebelumnya terima kasih 🙏🏻😇","Netral","",""
"kalo mau kulit sehat mending makan buah sayur aja deh guyss drpd dpt efek gara² minum obat obatan gini. kan ngeri jg kalo ngefek ke ginjal :(","Negatif","",""
"natur e yg white aman buat lambung gak kak? terus aturan minumnya gimana?","Netral","",""
"yg terakhir itu untuk umur brp kak?","Netral","",""
"suplemen buat kulit yang bisa ngobatin jerawat itu apa kak","Netral","",""
"g berani minum ini, tiap habis konsumsi g lama hamil, pengalaman anak 1 & 2 githu 😅","Negatif","",""
"aku make yang ijo, bagus bgt pliss, sama mencerahkan dikit, dulu kulit aku kusem kering[cry]","Positif","",""
"gw prnh minum ini mlh gemuk kulit kenyal","Negatif","",""
"kakiku kk jd pecah2 ya ka kering bgt","Negatif","",""
"buat umur 15+ minum yg mana kak","Netral","",""
"kakak obat untuk kremian kak Malem nya sudah tidur Gatel Bang t","Netral","",""
"ini aman buat ginjal ga sihh, agak takut kalo mau minum","Netral","",""
"salep apa gitu untuk ngilangin bekas darah ?? 🥺","Negatif","",""
"klo tramadol itu sbenarnya obat apa ?","Netral","",""
"Buat yg udah pake tolong dong sebutin efek samping nya","Netral","",""
"aku udah minum natur e yg white 2 strip lumayan ga bikin kulit kering, tapi harus di imbangi minum air putih yg banyak😁","Positif","",""
"gabisa minum kapsul","Negatif","",""
"Yang ditanya apa, yang dijawab apa. Trus bilangnya lunas 😂","Negatif","",""
"itu kalo beli lebih dari 2/3 trus di minum secara bersamaan gpp tu ka","Netral","",""
"bnyak bener min , klau saya mnding renovit cuma 1 pil aja 😁","Positif","",""
"vitamin kayak gino ngerusak ginjal gak ya klo diminum tiap hari...?","Netral","",""
"mau nanya, ini vitaminnya bisa di hisap atau di kunyah gitu atau pake air di telen ya?","Netral","",""
"emang bisa buat mata minus","Negatif","",""
"ga menjawab","Negatif","",""
"Padahal dalam b complex uda ada b1 sama b12🗿","Negatif","",""
"gw vit b kompleks,vit D ,vit C minum barengan sekali minum, soal nya KLo di jeda suka lupa🤣tp Alhamdulillah aman2 aja ,asal abis makan minum ny😌","Positif","",""
"ini bkal ngaruh ke ginjal atau lever ga? klo diminum jangka oanjanh","Negatif","",""
"lebih baik nanya langsung SM dokter , dari PDA operdosis😂","Negatif","",""
"kalo buat mutihin badan itu vitamin e sama d kan ya","Netral","",""
"hah murah bgt serius?","Positif","",""
"gak bisa COD😫","Negatif","",""
"kasihan ke ginjal","Negatif","",""
"kak yang jadi pertanyaannya tuh boleh diminum semua barengan apa gimana @obat.ind","Netral","",""
"kocak ini vt, dijawab bisa barengan atau engga malah bales begitu wkkwwk","Negatif","",""
"ya ampun... aku minum Vitamin D3 IPI sehari 4 butir 😭
 aku panik rambut rontok parah dan kuku kaki pada rusak gmpng capek sering lupa pula 😭😭😭","Netral","",""
"Nambah darah obatnya apaan si","Netral","",""
"kak info jadwal minum semua vitaminnya dong, kek sehari tuh mau minum semua tapi harus jeda brp jam atau langsung barengan semua","Netral","",""
"minum sebanyak gtu ginjal aman gk kak","Netral","",""
"jgn di minum barengan saran dr gue, soalny gue uda prnh minum barengan bsk ny demam 🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻","Negatif","",""
"waktu kecil aku sering ngambil vit c ngumpet2 punya alm kakekku","Netral","",""
"pegel di pundak menjalar ke tangan pake yg mana..","Netral","",""
"yg di tanya 1 sehari minum semua apa ada jeda per hari min","Netral","",""
"kemplo","Negatif","",""
"PANTESAN GA DI JAWAB😏","Negatif","",""
"dia nanyanya ""diminum berbarengan dalam 1 hari bisa nggak?"" bukan dosisnya, ngerti nggak sih","Negatif","",""
"dermatix lama bangettt di gua gak ilangg²","Negatif","",""
"plis buat dermatitis apasihh.. beberapa salep belum nemu yg cocok","Negatif","",""
"gimana cara ngilangin benjolan bekas laser ka😫😫","Netral","",""
"kak obat buat rambut rontok apa? yg bagus mahal gpp","Netral","",""
"kalo luka bakar dimuka pake apa ya min😭","Netral","",""
"noroid juga bagus bgt buat bekas luka","Positif","",""
"gua pake bio oil tapi gak ada perubahan","Negatif","",""
"seketika terdiam liat harga dermatix","Negatif","",""
"dermatik sangat ampuh ihhh sesuai harga","Positif","",""
"min klo buat Stretch Mark pakai apa ya... penyebab nya bb naik","Netral","",""
"aku make bio oil ga ada perubhaan😅","Negatif","",""
"kakkk meyumbat pori² besar diwajah pakai apa","Netral","",""
"kakk dermatik bisa ga buat hilangkan bekas luka yang sudah hampir 10 tahun","Netral","",""
"dermatix tuh mahal anjir tp oke bgt","Positif","",""
"dermatix ga ngotak harganya 🤣","Negatif","",""
"gue pake AHA thailand Alhamdulillah ngaruh tapi emang harus sabar sihh, 3 botol udah keliatan bedanya","Positif","",""
"bekas korengan akibat gatal pakai apa yah kk","Netral","",""
"aku pake bio oil sdah habis beberapa botol sama sekali tdak ada perubahan 😭 dermatik jg
 mohon solusinya luuur 😭","Negatif","",""
"Kalo buat bekas cacar air, bagus nya yg mana ya? udah pake bio oil tp gak mempan 😭","Negatif","",""
"kalau bekas kena knalpot yang sampe memutih bintik2 bagusnya pakai apa ya","Netral","",""
"obat buat org yg susah tdr dong kak lagi insom ni","Netral","",""
"Bio oil gak ngaruh wkwk, mana mahal lgi","Negatif","",""
"ihh aku udah cobain smua ga ngefek 😂😭","Negatif","",""
"aqu pernah pakek dermatix..d aqu GK ngaruh..harganya selangit tp tidak berkesan","Negatif","",""
"ASLII PAKE LIP MASK NYA+SUNSCREEN LIP ICE NGARUH BGT, DEMII😻😻","Positif","",""
"katanya mending pakai lip defense","Netral","",""
"Semua produk emina buat bibir bagus semua gada yg gagal😇😭❤","Positif","",""
"buat cerahin bibir bagus yg ijo atau orange?","Netral","",""
"malamnya pakai lip mask, paginya apa harus di usap pakai kapas ?","Netral","",""
"klo buat ngilangin bibir hitam yg mana ya","Netral","",""
